Alpha,Beta,Rho,Ants,Cost
1.0,1.0,0.1,30,957.3555182659849
1.0,1.0,0.1,50,932.3410533452864
1.0,1.0,0.1,70,893.0496320913875
1.0,1.0,0.1,100,934.0472612126099
1.0,1.0,0.2,30,960.8345305599662
1.0,1.0,0.2,50,959.689346470637
1.0,1.0,0.2,70,946.8454581446056
1.0,1.0,0.2,100,893.9140819485394
1.0,1.0,0.3,30,913.0829771093312
1.0,1.0,0.3,50,915.1599789442857
1.0,1.0,0.3,70,911.9740418293076
1.0,1.0,0.3,100,867.6385861122665
1.0,1.0,0.4,30,916.579556873475
1.0,1.0,0.4,50,956.196743188407
1.0,1.0,0.4,70,925.3254492020353
1.0,1.0,0.4,100,904.4051745759767
1.0,1.0,0.5,30,978.9900580454013
1.0,1.0,0.5,50,927.1537888784187
1.0,1.0,0.5,70,973.6084429455938
1.0,1.0,0.5,100,897.7902140591448
1.0,2.0,0.1,30,856.1589256376897
1.0,2.0,0.1,50,863.9373495408477
1.0,2.0,0.1,70,866.0374890169682
1.0,2.0,0.1,100,852.749314637689
1.0,2.0,0.2,30,863.5381415301557
1.0,2.0,0.2,50,854.6523109051085
1.0,2.0,0.2,70,881.9780228012703
1.0,2.0,0.2,100,849.4054957356813
1.0,2.0,0.3,30,890.9246960881002
1.0,2.0,0.3,50,860.6777662058421
1.0,2.0,0.3,70,851.7753168882626
1.0,2.0,0.3,100,854.2542114030528
1.0,2.0,0.4,30,898.2126337444159
1.0,2.0,0.4,50,853.2847224133993
1.0,2.0,0.4,70,853.0607422549026
1.0,2.0,0.4,100,850.5189613104588
1.0,2.0,0.5,30,958.8691839171944
1.0,2.0,0.5,50,839.2710713525684
1.0,2.0,0.5,70,879.915736861584
1.0,2.0,0.5,100,847.6625821875487
1.0,3.0,0.1,30,949.838853926389
1.0,3.0,0.1,50,840.659994873429
1.0,3.0,0.1,70,855.5405373341994
1.0,3.0,0.1,100,867.5128494687932
1.0,3.0,0.2,30,872.929792140006
1.0,3.0,0.2,50,854.04700297404
1.0,3.0,0.2,70,846.8429205930469
1.0,3.0,0.2,100,853.0490895848387
1.0,3.0,0.3,30,848.8839605839725
1.0,3.0,0.3,50,892.2097678354817
1.0,3.0,0.3,70,876.4420200095615
1.0,3.0,0.3,100,848.7254586000475
1.0,3.0,0.4,30,860.307737812633
1.0,3.0,0.4,50,919.0732193076998
1.0,3.0,0.4,70,859.2196636094966
1.0,3.0,0.4,100,844.9903386806499
1.0,3.0,0.5,30,844.877861630705
1.0,3.0,0.5,50,852.3460858971646
1.0,3.0,0.5,70,842.4047599468606
1.0,3.0,0.5,100,844.8778616307052
1.0,4.0,0.1,30,884.6439207174335
1.0,4.0,0.1,50,883.8346588966427
1.0,4.0,0.1,70,859.357352210437
1.0,4.0,0.1,100,843.3328467420433
1.0,4.0,0.2,30,897.7943936238366
1.0,4.0,0.2,50,840.7134295524042
1.0,4.0,0.2,70,906.8921328390578
1.0,4.0,0.2,100,862.2664874338576
1.0,4.0,0.3,30,865.9160742237642
1.0,4.0,0.3,50,968.6813213655794
1.0,4.0,0.3,70,852.3460858971646
1.0,4.0,0.3,100,939.0717484430572
1.0,4.0,0.4,30,949.0246204272702
1.0,4.0,0.4,50,868.3490369065365
1.0,4.0,0.4,70,851.2277319326132
1.0,4.0,0.4,100,841.045577735189
1.0,4.0,0.5,30,867.8646943713212
1.0,4.0,0.5,50,895.4493772326252
1.0,4.0,0.5,70,846.0219995897343
1.0,4.0,0.5,100,864.7018316060296
1.0,5.0,0.1,30,852.8922440055206
1.0,5.0,0.1,50,845.1405918207231
1.0,5.0,0.1,70,849.8082439608684
1.0,5.0,0.1,100,859.8507519111628
1.0,5.0,0.2,30,846.5600797924682
1.0,5.0,0.2,50,952.6742633502099
1.0,5.0,0.2,70,871.6676258244615
1.0,5.0,0.2,100,893.6451970847538
1.0,5.0,0.3,30,935.4058829633075
1.0,5.0,0.3,50,835.5579411063904
1.0,5.0,0.3,70,900.4973978282219
1.0,5.0,0.3,100,867.1775554919759
1.0,5.0,0.4,30,942.6783709366412
1.0,5.0,0.4,50,848.9396370201803
1.0,5.0,0.4,70,895.1103453020692
1.0,5.0,0.4,100,933.6220379771322
1.0,5.0,0.5,30,939.6293317597972
1.0,5.0,0.5,50,878.2495879398815
1.0,5.0,0.5,70,948.7115890380394
1.0,5.0,0.5,100,866.7869713581094
2.0,1.0,0.1,30,906.8886653658282
2.0,1.0,0.1,50,882.594474746588
2.0,1.0,0.1,70,900.3695208006726
2.0,1.0,0.1,100,851.5516182252494
2.0,1.0,0.2,30,931.2848399489288
2.0,1.0,0.2,50,886.4834871286545
2.0,1.0,0.2,70,852.1958327570912
2.0,1.0,0.2,100,850.4058327756632
2.0,1.0,0.3,30,918.241739839775
2.0,1.0,0.3,50,947.5461557617969
2.0,1.0,0.3,70,850.4058327756629
2.0,1.0,0.3,100,853.469640247139
2.0,1.0,0.4,30,872.1596804038118
2.0,1.0,0.4,50,914.7959682929414
2.0,1.0,0.4,70,877.6562575672651
2.0,1.0,0.4,100,895.4433088983686
2.0,1.0,0.5,30,864.4028349746225
2.0,1.0,0.5,50,880.5703195809856
2.0,1.0,0.5,70,884.0360166644982
2.0,1.0,0.5,100,853.0093174044326
2.0,2.0,0.1,30,853.1437280134746
2.0,2.0,0.1,50,851.9255700283359
2.0,2.0,0.1,70,856.0285037348118
2.0,2.0,0.1,100,850.0421828735045
2.0,2.0,0.2,30,871.9758365629307
2.0,2.0,0.2,50,873.7760550331036
2.0,2.0,0.2,70,919.4308475343302
2.0,2.0,0.2,100,853.2113435557858
2.0,2.0,0.3,30,850.5078332901717
2.0,2.0,0.3,50,840.863963635568
2.0,2.0,0.3,70,858.9341042632946
2.0,2.0,0.3,100,847.0748798143344
2.0,2.0,0.4,30,911.0249029058765
2.0,2.0,0.4,50,842.491739353312
2.0,2.0,0.4,70,864.8872998783811
2.0,2.0,0.4,100,854.1980918572026
2.0,2.0,0.5,30,904.79323324736
2.0,2.0,0.5,50,857.7728408527512
2.0,2.0,0.5,70,901.5960963705699
2.0,2.0,0.5,100,847.8282151019439
2.0,3.0,0.1,30,973.9921725500598
2.0,3.0,0.1,50,957.8310733366235
2.0,3.0,0.1,70,851.3790911105775
2.0,3.0,0.1,100,881.8437895366811
2.0,3.0,0.2,30,869.0542012436533
2.0,3.0,0.2,50,963.7728501162029
2.0,3.0,0.2,70,850.7732143599071
2.0,3.0,0.2,100,844.8778616307051
2.0,3.0,0.3,30,863.5836240879983
2.0,3.0,0.3,50,851.3114755682664
2.0,3.0,0.3,70,938.9683397530436
2.0,3.0,0.3,100,888.1556425586026
2.0,3.0,0.4,30,1007.9073676732507
2.0,3.0,0.4,50,929.3430136816938
2.0,3.0,0.4,70,867.3806348651573
2.0,3.0,0.4,100,910.713911405313
2.0,3.0,0.5,30,845.3490139166213
2.0,3.0,0.5,50,885.6409881452387
2.0,3.0,0.5,70,914.159773140231
2.0,3.0,0.5,100,975.955935745785
2.0,4.0,0.1,30,968.0718063362772
2.0,4.0,0.1,50,927.3502883273975
2.0,4.0,0.1,70,951.6392680567734
2.0,4.0,0.1,100,880.4023996220387
2.0,4.0,0.2,30,1016.1099477593183
2.0,4.0,0.2,50,878.1436838525829
2.0,4.0,0.2,70,864.0144357476381
2.0,4.0,0.2,100,975.0248749355198
2.0,4.0,0.3,30,972.5210617654811
2.0,4.0,0.3,50,852.9228201374414
2.0,4.0,0.3,70,961.4508037477347
2.0,4.0,0.3,100,952.4353787399951
2.0,4.0,0.4,30,1023.7090883855947
2.0,4.0,0.4,50,969.0112823282
2.0,4.0,0.4,70,873.6231736225325
2.0,4.0,0.4,100,963.0135758303546
2.0,4.0,0.5,30,967.7695259191253
2.0,4.0,0.5,50,863.6486595359193
2.0,4.0,0.5,70,1008.310127475791
2.0,4.0,0.5,100,888.2104932169434
2.0,5.0,0.1,30,965.7561402495201
2.0,5.0,0.1,50,941.3874206119151
2.0,5.0,0.1,70,918.895540208491
2.0,5.0,0.1,100,907.2984142581751
2.0,5.0,0.2,30,939.2168320185903
2.0,5.0,0.2,50,996.5689856827893
2.0,5.0,0.2,70,966.9712331633433
2.0,5.0,0.2,100,972.1182970115494
2.0,5.0,0.3,30,939.6293317597972
2.0,5.0,0.3,50,880.6336924773466
2.0,5.0,0.3,70,974.1776045130471
2.0,5.0,0.3,100,942.8363597701086
2.0,5.0,0.4,30,983.6356587469273
2.0,5.0,0.4,50,953.2934418916648
2.0,5.0,0.4,70,915.1372858208898
2.0,5.0,0.4,100,924.9685555719109
2.0,5.0,0.5,30,961.0411525978457
2.0,5.0,0.5,50,1028.9403131985923
2.0,5.0,0.5,70,1008.676047900092
2.0,5.0,0.5,100,940.2670689135396
3.0,1.0,0.1,30,891.7962098637593
3.0,1.0,0.1,50,845.3334852413019
3.0,1.0,0.1,70,866.2756751723514
3.0,1.0,0.1,100,918.4917780688701
3.0,1.0,0.2,30,847.3745252322276
3.0,1.0,0.2,50,888.2122987667404
3.0,1.0,0.2,70,934.32187601849
3.0,1.0,0.2,100,890.3267603194155
3.0,1.0,0.3,30,914.4135953183625
3.0,1.0,0.3,50,857.1925613598064
3.0,1.0,0.3,70,865.8925338223993
3.0,1.0,0.3,100,921.8140814033832
3.0,1.0,0.4,30,897.9885739577776
3.0,1.0,0.4,50,866.806755759421
3.0,1.0,0.4,70,927.4129168264785
3.0,1.0,0.4,100,840.8318651893212
3.0,1.0,0.5,30,978.5413537172238
3.0,1.0,0.5,50,941.0113051595672
3.0,1.0,0.5,70,880.3050935315193
3.0,1.0,0.5,100,896.9733796648318
3.0,2.0,0.1,30,883.7962854165496
3.0,2.0,0.1,50,937.0770779740458
3.0,2.0,0.1,70,914.3139567635233
3.0,2.0,0.1,100,924.2815478326369
3.0,2.0,0.2,30,892.3708390804416
3.0,2.0,0.2,50,911.5954754011012
3.0,2.0,0.2,70,851.4400528286599
3.0,2.0,0.2,100,847.6625821875487
3.0,2.0,0.3,30,958.6634538231049
3.0,2.0,0.3,50,884.1765256609203
3.0,2.0,0.3,70,991.8550531834236
3.0,2.0,0.3,100,891.7652459287635
3.0,2.0,0.4,30,854.1980918572026
3.0,2.0,0.4,50,941.4266462533178
3.0,2.0,0.4,70,965.3851077755083
3.0,2.0,0.4,100,933.5382958552916
3.0,2.0,0.5,30,867.6307364905106
3.0,2.0,0.5,50,907.8862980776295
3.0,2.0,0.5,70,991.7454559064267
3.0,2.0,0.5,100,843.1953640330344
3.0,3.0,0.1,30,856.8644969006556
3.0,3.0,0.1,50,892.15994980662
3.0,3.0,0.1,70,859.5369398929536
3.0,3.0,0.1,100,945.1165143045873
3.0,3.0,0.2,30,844.8778616307052
3.0,3.0,0.2,50,970.0612544013773
3.0,3.0,0.2,70,903.1389623133359
3.0,3.0,0.2,100,853.7746737404321
3.0,3.0,0.3,30,1035.5669218999665
3.0,3.0,0.3,50,940.7604268775631
3.0,3.0,0.3,70,846.0738970778622
3.0,3.0,0.3,100,935.2155115379445
3.0,3.0,0.4,30,956.0177515439971
3.0,3.0,0.4,50,855.0608118271607
3.0,3.0,0.4,70,840.2894478444456
3.0,3.0,0.4,100,992.8954852896119
3.0,3.0,0.5,30,863.258162854351
3.0,3.0,0.5,50,888.8459595083393
3.0,3.0,0.5,70,851.3790911105775
3.0,3.0,0.5,100,939.6596687488118
3.0,4.0,0.1,30,1013.0018484650262
3.0,4.0,0.1,50,1017.0957426156922
3.0,4.0,0.1,70,903.7137226760924
3.0,4.0,0.1,100,939.1725440116421
3.0,4.0,0.2,30,931.1729683552105
3.0,4.0,0.2,50,989.2505943063347
3.0,4.0,0.2,70,982.0151244089973
3.0,4.0,0.2,100,888.3068726496087
3.0,4.0,0.3,30,1013.4951809661243
3.0,4.0,0.3,50,966.8298960167659
3.0,4.0,0.3,70,998.7269486136327
3.0,4.0,0.3,100,906.9575786361138
3.0,4.0,0.4,30,862.1649674762632
3.0,4.0,0.4,50,948.2864697259183
3.0,4.0,0.4,70,1007.0494198834024
3.0,4.0,0.4,100,994.6971160141612
3.0,4.0,0.5,30,1009.0849637744484
3.0,4.0,0.5,50,1015.2351745891681
3.0,4.0,0.5,70,935.627604330733
3.0,4.0,0.5,100,893.3588649557673
3.0,5.0,0.1,30,1050.9265487040645
3.0,5.0,0.1,50,1037.015553328174
3.0,5.0,0.1,70,1006.8091948746228
3.0,5.0,0.1,100,1002.7481978749252
3.0,5.0,0.2,30,944.9360993466717
3.0,5.0,0.2,50,934.9205180435213
3.0,5.0,0.2,70,991.0241384429447
3.0,5.0,0.2,100,993.9882048299129
3.0,5.0,0.3,30,1025.6004481917687
3.0,5.0,0.3,50,872.6915476388261
3.0,5.0,0.3,70,1030.0840835472595
3.0,5.0,0.3,100,976.6998751500131
3.0,5.0,0.4,30,963.7388494679285
3.0,5.0,0.4,50,997.8113370809186
3.0,5.0,0.4,70,967.1809296952722
3.0,5.0,0.4,100,1009.5948433002559
3.0,5.0,0.5,30,1041.3819176516758
3.0,5.0,0.5,50,984.3075645481819
3.0,5.0,0.5,70,993.466863484913
3.0,5.0,0.5,100,963.0988476908699
4.0,1.0,0.1,30,902.9411567289751
4.0,1.0,0.1,50,875.1537526645851
4.0,1.0,0.1,70,867.1723426525429
4.0,1.0,0.1,100,839.865778754443
4.0,1.0,0.2,30,867.3146942386351
4.0,1.0,0.2,50,943.5024379079001
4.0,1.0,0.2,70,851.4827672691395
4.0,1.0,0.2,100,907.8309066249587
4.0,1.0,0.3,30,999.8368039212799
4.0,1.0,0.3,50,856.6485222772926
4.0,1.0,0.3,70,949.9839498003291
4.0,1.0,0.3,100,843.730451200523
4.0,1.0,0.4,30,963.0275737427011
4.0,1.0,0.4,50,947.1350130866048
4.0,1.0,0.4,70,930.218805357298
4.0,1.0,0.4,100,945.0305395254472
4.0,1.0,0.5,30,1007.342898770611
4.0,1.0,0.5,50,943.0510539193119
4.0,1.0,0.5,70,886.4185207303028
4.0,1.0,0.5,100,899.130226884995
4.0,2.0,0.1,30,945.2720856958142
4.0,2.0,0.1,50,931.4417732521558
4.0,2.0,0.1,70,887.031873575198
4.0,2.0,0.1,100,854.6185753769234
4.0,2.0,0.2,30,895.5624139588083
4.0,2.0,0.2,50,858.1843244966475
4.0,2.0,0.2,70,905.1978668863152
4.0,2.0,0.2,100,917.1408561365396
4.0,2.0,0.3,30,956.0900236751094
4.0,2.0,0.3,50,889.0739420411028
4.0,2.0,0.3,70,850.4058327756629
4.0,2.0,0.3,100,901.8750509029406
4.0,2.0,0.4,30,848.4191687452746
4.0,2.0,0.4,50,843.4274234459089
4.0,2.0,0.4,70,866.5105948255787
4.0,2.0,0.4,100,842.2060450494852
4.0,2.0,0.5,30,964.6098746846612
4.0,2.0,0.5,50,1012.5939353016341
4.0,2.0,0.5,70,909.0267129752098
4.0,2.0,0.5,100,1004.1218718588506
4.0,3.0,0.1,30,1014.9328693811764
4.0,3.0,0.1,50,831.4049345364656
4.0,3.0,0.1,70,854.3631152823642
4.0,3.0,0.1,100,930.0253650198529
4.0,3.0,0.2,30,938.5329716431006
4.0,3.0,0.2,50,928.6488089245688
4.0,3.0,0.2,70,904.22632745439
4.0,3.0,0.2,100,838.6369195409054
4.0,3.0,0.3,30,1031.513405060376
4.0,3.0,0.3,50,908.3897893951452
4.0,3.0,0.3,70,889.1991121842337
4.0,3.0,0.3,100,1037.4689634695603
4.0,3.0,0.4,30,1047.4252722883716
4.0,3.0,0.4,50,937.601888869159
4.0,3.0,0.4,70,948.5380817491987
4.0,3.0,0.4,100,936.8210546234263
4.0,3.0,0.5,30,1025.3072834767888
4.0,3.0,0.5,50,845.333485241302
4.0,3.0,0.5,70,938.5570573713788
4.0,3.0,0.5,100,974.6774414491051
4.0,4.0,0.1,30,928.43921122025
4.0,4.0,0.1,50,1043.5558952233177
4.0,4.0,0.1,70,1024.8522886882006
4.0,4.0,0.1,100,991.8144807153749
4.0,4.0,0.2,30,976.637880528468
4.0,4.0,0.2,50,849.3689451255357
4.0,4.0,0.2,70,1040.7081881361385
4.0,4.0,0.2,100,1004.8668992017961
4.0,4.0,0.3,30,1070.4559715354708
4.0,4.0,0.3,50,867.5783570855731
4.0,4.0,0.3,70,1009.1003095234961
4.0,4.0,0.3,100,870.9220297075761
4.0,4.0,0.4,30,944.73403557176
4.0,4.0,0.4,50,996.3583113944885
4.0,4.0,0.4,70,1058.0066145237392
4.0,4.0,0.4,100,938.6109552679202
4.0,4.0,0.5,30,1047.8153139620522
4.0,4.0,0.5,50,1063.3486086324638
4.0,4.0,0.5,70,855.2523835467114
4.0,4.0,0.5,100,967.9542744647025
4.0,5.0,0.1,30,1055.8870324481757
4.0,5.0,0.1,50,1004.467691010549
4.0,5.0,0.1,70,1020.9479994228224
4.0,5.0,0.1,100,998.9451699847865
4.0,5.0,0.2,30,1015.3613496161651
4.0,5.0,0.2,50,1049.199088189651
4.0,5.0,0.2,70,1016.3741945379169
4.0,5.0,0.2,100,953.6994865133638
4.0,5.0,0.3,30,1003.4866085588565
4.0,5.0,0.3,50,870.6542010514861
4.0,5.0,0.3,70,993.7709084247465
4.0,5.0,0.3,100,1026.79492934526
4.0,5.0,0.4,30,1086.4618838704935
4.0,5.0,0.4,50,937.2752122506126
4.0,5.0,0.4,70,940.2352085104676
4.0,5.0,0.4,100,944.0674924059838
4.0,5.0,0.5,30,1104.6595512970512
4.0,5.0,0.5,50,1049.211362249627
4.0,5.0,0.5,70,951.7527343437431
4.0,5.0,0.5,100,1036.6385807179443
5.0,1.0,0.1,30,873.2795267489943
5.0,1.0,0.1,50,935.6562883094489
5.0,1.0,0.1,70,900.6173177110235
5.0,1.0,0.1,100,868.0299005357991
5.0,1.0,0.2,30,894.1041897099793
5.0,1.0,0.2,50,888.8939643595531
5.0,1.0,0.2,70,897.7716444280509
5.0,1.0,0.2,100,850.4058327756629
5.0,1.0,0.3,30,867.873876060688
5.0,1.0,0.3,50,861.1671099719082
5.0,1.0,0.3,70,880.345707682589
5.0,1.0,0.3,100,995.4609819429056
5.0,1.0,0.4,30,1036.3791445813408
5.0,1.0,0.4,50,979.8667663446786
5.0,1.0,0.4,70,926.989723367915
5.0,1.0,0.4,100,949.0222538158179
5.0,1.0,0.5,30,1027.057135040015
5.0,1.0,0.5,50,877.7878265083316
5.0,1.0,0.5,70,1004.6729207700153
5.0,1.0,0.5,100,948.610538435344
5.0,2.0,0.1,30,981.912154765849
5.0,2.0,0.1,50,906.1803758737603
5.0,2.0,0.1,70,854.7385589576203
5.0,2.0,0.1,100,978.4389653251111
5.0,2.0,0.2,30,841.3863834549836
5.0,2.0,0.2,50,937.9016000310166
5.0,2.0,0.2,70,868.725422163248
5.0,2.0,0.2,100,845.1073531246639
5.0,2.0,0.3,30,854.3529345619814
5.0,2.0,0.3,50,839.8769481032386
5.0,2.0,0.3,70,927.9972256559043
5.0,2.0,0.3,100,839.2710713525684
5.0,2.0,0.4,30,858.507222022043
5.0,2.0,0.4,50,866.18852654759
5.0,2.0,0.4,70,958.7070548364586
5.0,2.0,0.4,100,852.3460858971646
5.0,2.0,0.5,30,896.4028062901785
5.0,2.0,0.5,50,863.5924221542753
5.0,2.0,0.5,70,839.2710713525681
5.0,2.0,0.5,100,841.917988094164
5.0,3.0,0.1,30,896.5105975240363
5.0,3.0,0.1,50,1025.9305300266822
5.0,3.0,0.1,70,920.3493171888286
5.0,3.0,0.1,100,876.0381876503097
5.0,3.0,0.2,30,986.8552927099674
5.0,3.0,0.2,50,849.9306174769149
5.0,3.0,0.2,70,847.5061157215117
5.0,3.0,0.2,100,854.3529345619816
5.0,3.0,0.3,30,975.2369884388739
5.0,3.0,0.3,50,984.970490087177
5.0,3.0,0.3,70,857.7849509326376
5.0,3.0,0.3,100,944.673369156654
5.0,3.0,0.4,30,872.1636364032308
5.0,3.0,0.4,50,1022.089299418682
5.0,3.0,0.4,70,1058.710403300557
5.0,3.0,0.4,100,1036.0391434066246
5.0,3.0,0.5,30,844.7276084906317
5.0,3.0,0.5,50,1006.6501022766593
5.0,3.0,0.5,70,964.5313744515176
5.0,3.0,0.5,100,916.5173484578163
5.0,4.0,0.1,30,1005.1062527175751
5.0,4.0,0.1,50,927.9687003305602
5.0,4.0,0.1,70,958.3145962751742
5.0,4.0,0.1,100,984.5785864109441
5.0,4.0,0.2,30,995.0631972370654
5.0,4.0,0.2,50,1026.9677044222847
5.0,4.0,0.2,70,918.3218447796911
5.0,4.0,0.2,100,849.9214419518255
5.0,4.0,0.3,30,1016.8924225295484
5.0,4.0,0.3,50,1010.2007200509263
5.0,4.0,0.3,70,944.0674924059836
5.0,4.0,0.3,100,1014.3239330655028
5.0,4.0,0.4,30,1045.5876261487012
5.0,4.0,0.4,50,1011.0887493528152
5.0,4.0,0.4,70,1027.7373908015657
5.0,4.0,0.4,100,914.9053455378466
5.0,4.0,0.5,30,985.4863187850437
5.0,4.0,0.5,50,977.4024920026128
5.0,4.0,0.5,70,1010.3644692175562
5.0,4.0,0.5,100,930.4385294454806
5.0,5.0,0.1,30,1011.5415150789665
5.0,5.0,0.1,50,1036.7884057476942
5.0,5.0,0.1,70,947.2551040696608
5.0,5.0,0.1,100,994.4552760306619
5.0,5.0,0.2,30,1019.6103114510613
5.0,5.0,0.2,50,1014.4787322155485
5.0,5.0,0.2,70,1017.4982992802188
5.0,5.0,0.2,100,951.667101924232
5.0,5.0,0.3,30,1086.0467757418025
5.0,5.0,0.3,50,1048.9086712961393
5.0,5.0,0.3,70,995.7291641220054
5.0,5.0,0.3,100,922.9074567804613
5.0,5.0,0.4,30,1044.6852655702264
5.0,5.0,0.4,50,966.0422897826463
5.0,5.0,0.4,70,1032.511496619449
5.0,5.0,0.4,100,845.1183515025318
5.0,5.0,0.5,30,1044.5045982373265
5.0,5.0,0.5,50,1050.1095201247538
5.0,5.0,0.5,70,1095.1382681641076
5.0,5.0,0.5,100,1068.9574212312687
